wage,hours,educ,exper,age,married,race
1442,40,17,14,38,1,0
1442,40,12,9,37,1,0
1442,40,16,8,35,1,0
1442,40,13,13,29,1,1
1442,60,16,9,31,1,0
1442,40,17,8,33,1,0
1424,50,14,15,35,1,0
1424,50,17,15,37,1,0
1418,45,12,19,36,1,0
1417,48,17,9,34,1,0
1442,40,12,14,36,1,0
1411,45,18,14,38,1,0
1411,45,16,11,32,1,0
1400,42,17,7,31,1,0
1400,40,12,15,36,1,0
1400,40,16,14,35,1,1
1394,40,16,11,30,1,0
1391,50,12,14,32,1,1
1386,42,16,10,34,1,0
1386,40,10,17,37,1,0
1384,50,18,12,37,1,0
1384,50,13,8,31,1,0
1377,37,16,15,36,1,0
1375,40,12,12,29,1,0
1375,40,13,3,30,1,0
1371,40,18,8,36,1,0
1368,45,16,11,33,1,0
1366,38,12,15,32,1,0
1366,40,12,13,30,1,0
1360,45,15,6,36,1,0
1442,40,12,16,33,1,0
1350,40,12,17,35,1,0
1346,40,16,9,38,1,0
1346,50,16,9,36,1,0
1346,40,16,9,30,1,0
1346,40,16,14,35,1,0
1346,40,16,15,37,1,0
1442,40,12,17,36,1,0
1346,40,15,15,35,1,0
1346,45,16,8,31,1,0
1339,38,12,8,33,1,0
1333,45,16,14,38,1,0
1333,60,15,5,30,1,0
1333,45,16,7,34,1,0
1329,55,18,10,36,1,0
1325,45,12,12,28,1,0
1322,40,16,7,33,1,0
1318,38,17,10,33,1,0
1318,38,16,7,28,1,0
1318,35,16,16,37,1,0
1313,40,12,11,28,1,0
1312,40,10,14,32,1,0
1304,45,17,9,31,1,0
1300,35,12,13,31,1,0
1300,40,13,12,33,1,0
1442,40,13,14,36,1,0
1282,60,18,7,32,1,0
1442,40,12,19,36,1,0
1282,45,16,4,32,1,0
1282,45,18,7,32,1,0
1275,40,14,9,31,1,0
1274,40,13,11,31,1,0
1273,55,18,14,37,1,0
1273,55,14,11,36,1,0
1272,40,12,10,30,1,0
1270,40,16,8,31,1,0
1270,40,14,4,36,1,0
1270,40,12,11,30,1,0
1261,40,17,1,35,1,0
1260,45,12,5,29,1,0
1260,45,12,19,37,1,0
1250,40,14,9,29,1,0
1250,40,16,9,30,1,0
1250,40,16,8,30,1,0
1250,40,14,7,28,1,0
1250,40,16,10,33,1,0
1250,40,12,13,34,1,0
1250,32,12,17,33,1,0
1250,40,12,16,33,1,0
1250,40,13,13,30,1,0
1250,44,12,19,38,1,0
1250,40,12,14,35,1,0
1442,40,16,6,29,1,0
1444,40,16,12,37,1,0
1250,40,12,12,32,1,0
1250,60,11,19,38,1,0
1250,46,12,5,38,1,0
1250,32,13,13,33,1,0
1241,40,13,9,33,1,0
1239,45,12,16,38,1,0
1235,40,12,10,33,1,0
1230,50,13,11,30,1,0
1225,40,13,9,32,1,0
1223,40,12,7,28,1,0
1444,40,15,11,29,1,0
1212,40,12,6,38,1,0
1452,45,17,1,30,1,0
1211,27,12,13,31,1,0
1206,40,12,16,38,1,0
1205,40,10,13,32,1,1
1202,40,13,10,31,1,0
1202,40,15,11,28,1,0
1202,40,16,10,33,1,0
1202,40,15,15,37,1,0
1202,48,16,6,28,1,0
1202,40,12,18,37,1,0
1202,40,14,10,29,1,0
1202,40,14,6,31,1,1
1201,50,11,17,36,1,0
1200,40,14,5,30,1,0
1200,40,12,16,33,1,0
1200,42,16,11,30,1,0
1200,40,9,18,34,1,0
1200,50,12,11,28,1,0
1200,50,12,13,32,1,0
1200,40,15,7,33,1,0
1200,40,17,9,32,1,0
1200,40,12,10,31,1,0
1200,40,11,15,37,1,0
1199,43,13,13,30,1,1
1198,32,16,7,30,1,0
1196,45,14,10,32,1,0
1193,50,12,19,36,1,0
1190,40,17,4,34,1,0
1188,40,12,11,30,1,0
1188,40,13,16,35,1,0
1186,30,17,8,33,1,0
1175,45,12,17,34,1,0
1170,47,14,9,32,1,0
1162,48,16,8,31,1,0
1162,45,12,11,37,1,0
1161,40,13,16,36,1,0
1161,50,12,5,34,1,0
1160,40,12,17,38,1,0
1160,40,12,14,33,1,1
1160,40,12,8,31,1,0
1155,40,13,9,28,1,0
1155,40,12,16,34,1,0
1155,40,17,13,38,1,0
1155,45,12,14,34,1,0
1155,60,18,10,37,1,0
1452,35,16,12,38,1,1
1154,45,15,13,36,1,0
1154,50,16,11,33,1,0
1154,42,12,14,29,1,0
1154,50,16,10,35,1,0
1154,40,18,10,37,1,0
1154,40,14,18,37,1,0
1154,40,16,11,35,1,0
1154,40,16,12,34,1,0
1151,48,12,18,38,1,0
1151,40,12,12,29,1,0
1151,45,12,19,36,1,0
1143,35,12,21,38,1,0
1140,48,12,16,35,1,0
1136,50,14,16,34,1,0
1133,40,16,13,36,1,0
1130,50,12,18,37,1,0
1130,40,18,4,38,1,0
1127,40,12,17,36,1,0
1126,40,16,5,32,1,0
1126,40,12,16,32,1,0
1126,40,12,5,31,1,1
1122,48,15,12,31,1,0
1122,60,17,7,32,1,0
1122,35,18,13,32,1,0
1115,40,16,12,33,1,0
1111,40,14,10,29,1,0
1111,45,12,18,37,1,0
1111,40,14,13,31,1,0
1111,45,15,11,32,1,0
1110,52,12,11,33,1,0
1107,40,12,12,38,1,0
1105,40,13,10,30,1,0
1105,40,16,5,29,1,0
1455,40,16,8,36,1,0
1463,45,15,14,37,1,0
1104,54,12,11,29,1,0
1100,40,12,22,38,1,0
1100,37,12,14,30,1,0
1100,50,16,11,32,1,0
1100,40,12,18,36,1,0
1100,40,12,18,37,1,0
1100,40,13,21,38,1,1
1100,40,14,11,33,1,0
