pupilid,tracking,girl,agetest,bottomhalf,percentile,totalscore,act_track
4301041,1,0,9,0,54.48718,8.657143,1
4301042,1,1,10,0,53.84615,2.828571,1
4301044,1,0,11,0,55.76923,9.864285,1
4301045,1,0,11,0,57.05128,6.757143,1
4301046,1,1,11,0,58.33333,7.735714,1
4301047,1,1,13,0,59.61539,,1
4301048,1,0,9,0,60.89743,13.71429,1
4301049,1,1,,0,62.17949,,1
4301050,1,1,9,0,63.46154,12.91429,1
4301052,1,0,9,0,67.30769,15.4,1
4301054,1,0,12,0,68.58974,7.514286,1
4301055,1,1,,0,69.8718,,1
4301056,1,0,10,0,71.15385,10.88571,1
4301057,1,0,10,0,72.4359,5.592857,1
4301058,1,0,12,0,73.71795,8.828571,1
4301059,1,0,9,0,75,21.43571,1
4301060,1,0,12,0,76.28205,14.94286,1
4301062,1,1,12,0,78.84615,10.47857,1
4301063,1,0,10,0,80.1282,24.95,1
4301064,1,1,11,0,81.41026,30.05,1
4301065,1,1,12,0,82.69231,13.03571,1
4301067,1,0,10,0,85.25641,12.22857,1
4301069,1,0,13,0,87.82051,13.44286,1
4301070,1,0,11,0,89.10256,9.521429,1
4301071,1,0,9,0,91.02564,31.55,1
4301073,1,1,8,0,92.30769,21.77857,1
4301075,1,1,,0,95.51282,,1
4301076,1,1,13,0,96.79487,6.585714,1
4301077,1,0,9,0,98.07692,,1
4301078,1,0,9,0,99.35897,18.97143,1
4321001,1,0,9,1,2.380955,8.564285,1
4321002,1,0,10,1,1.587301,4.057143,1
4321003,1,1,8,1,3.968251,4,1
4321004,1,0,10,1,5.555558,3.585714,1
4321005,1,0,9,1,7.142854,8.042857,1
4321006,1,0,8,1,8.730162,3.121428,1
4321007,1,0,10,1,10.31746,5.257143,1
4321008,1,0,9,1,11.90476,8.685715,1
4321009,1,0,10,1,14.28571,3.171429,1
4321010,1,0,9,1,19.04762,9.1,1
4321011,1,0,11,1,15.87301,2.771429,1
4321012,1,0,,1,23.80952,,1
4321013,1,0,11,1,22.22222,7,1
4321014,1,0,11,1,22.22222,13.37857,1
4321015,1,0,10,1,22.22222,4.071428,1
4321016,1,0,12,1,26.19047,11.75714,1
4321017,1,0,10,1,25.39682,10.81429,1
4321018,1,0,10,1,28.57143,,1
4321019,1,0,9,1,30.95238,16.91429,1
4321020,1,0,8,1,30.15873,6.657143,1
4321021,1,0,10,1,34.92063,16.04286,1
4321022,1,0,11,1,38.88889,6.085714,1
4321023,1,1,8,1,38.09524,,1
4321024,1,1,,1,38.09524,,1
4321025,1,1,8,1,38.09524,10.22857,1
4321026,1,1,10,1,41.26984,5.585714,1
4321027,1,0,7,1,42.85714,6.114285,1
4321028,1,1,8,1,43.65079,6.928572,1
4321029,1,1,10,1,45.23809,,1
4321030,1,1,8,1,46.8254,16.65714,1
4321031,1,0,10,1,48.41269,19.47143,1
4321032,1,1,,1,50,,1
4361038,1,0,11,0,51.40845,7.114285,1
4361039,1,0,10,0,52.8169,23.07857,1
4361042,1,0,10,0,55.6338,21.68571,1
4361043,1,0,12,0,57.74648,,1
4361045,1,1,8,0,59.15493,17.98571,1
4361047,1,1,7,0,62.67606,11.02857,1
4361048,1,1,7,0,64.0845,27.57857,1
4361049,1,1,11,0,65.49296,22.08571,1
4361050,1,0,8,0,66.90141,14.76429,1
4361051,1,0,11,0,68.30986,8.128572,1
4361052,1,1,8,0,69.71831,0.2571429,1
4361053,1,0,9,0,71.12676,35.15714,1
4361054,1,1,12,0,72.53521,10.55,1
4361055,1,0,11,0,73.94366,24.97143,1
4361056,1,0,11,0,75.35211,1.2,1
